Time,Total
2022/3/1,2
2022/3/2,8
2022/3/3,16
2022/3/4,19
2022/3/5,28
2022/3/6,48
2022/3/7,55
2022/3/8,64
2022/3/9,79
2022/3/10,75
2022/3/11,83
2022/3/12,65
2022/3/13,163
2022/3/14,137
2022/3/15,201
2022/3/16,156
2022/3/17,220
2022/3/18,371
2022/3/19,501
2022/3/20,756
2022/3/21,896
2022/3/22,980
2022/3/23,983
2022/3/24,1599
2022/3/25,2236
2022/3/26,2667
2022/3/27,3486
2022/3/28,4415
2022/3/29,5762
2022/3/30,5354
2022/3/31,4249
2022/4/1,6181
2022/4/2,7974
2022/4/3,8734
2022/4/4,13350
2022/4/5,17037
2022/4/6,19967
2022/4/7,20899
2022/4/8,23204
2022/4/9,24752
2022/4/10,26040
2022/4/11,22989
2022/4/12,26305
2022/4/13,27505
2022/4/14,22765
2022/4/15,22591
2022/4/16,23639
2022/4/17,21395
2022/4/18,19341
2022/4/19,18368
2022/4/20,18036
2022/4/21,17486
2022/4/22,22250
2022/4/23,20517
2022/4/24,18609
2022/4/25,16012
2022/4/26,12309
2022/4/27,9764
2022/4/28,9970
2022/4/29,9196
2022/4/30,7189
2022/5/1,6804
2022/5/2,5514
2022/5/3,4831
2022/5/4,4466
2022/5/5,4088
2022/5/6,4039
2022/5/7,3840
2022/5/8,3717
2022/5/9,2858
2022/5/10,1289
2022/5/11,1343
2022/5/12,1929
2022/5/13,1541
2022/5/14,1258
2022/5/15,896
2022/5/16,777
2022/5/17,799
2022/5/18,671
2022/5/19,785
2022/5/20,819
2022/5/21,593
2022/5/22,528
2022/5/23,441
2022/5/24,355
2022/5/25,307
2022/5/26,231
2022/5/27,152
2022/5/28,104
2022/5/29,65
2022/5/30,29
2022/5/31,14
2022/6/1,10
2022/6/2,14
2022/6/3,12
2022/6/4,21
2022/6/5,8
2022/6/6,10
2022/6/7,15
2022/6/8,9
2022/6/9,11
2022/6/10,16
2022/6/11,29
2022/6/12,36
2022/6/13,17
2022/6/14,14
2022/6/15,16
2022/6/16,4
2022/6/17,7
2022/6/18,9
2022/6/19,13
2022/6/20,9
2022/6/21,8
2022/6/22,9
2022/6/23,3
2022/6/24,0
2022/6/25,0
2022/6/26,4
2022/6/27,0
2022/6/28,0
2022/6/29,0
2022/6/30,0
2022/7/1,0
2022/7/2,2
