time,infection
2022/2/24,5
2022/2/25,4
2022/2/26,3
2022/2/27,3
2022/2/28,3
2022/3/1,4
2022/3/2,16
2022/3/3,25
2022/3/4,30
2022/3/5,49
2022/3/6,71
2022/3/7,72
2022/3/8,82
2022/3/9,86
2022/3/10,77
2022/3/11,85
2022/3/12,116
2022/3/13,216
2022/3/14,171
2022/3/15,205
2022/3/16,192
2022/3/17,354
2022/3/18,594
2022/3/19,807
2022/3/20,1055
2022/3/21,1064
2022/3/22,1104
2022/3/23,1437
2022/3/24,2451
2022/3/25,3141
2022/3/26,3775
2022/3/27,5005
2022/3/28,6123
2022/3/29,6212
2022/3/30,4720
2022/3/31,5001
2022/4/1,8231
2022/4/2,10271
2022/4/3,13041
2022/4/4,19676
2022/4/5,22708
2022/4/6,23788
2022/4/7,24232
2022/4/8,26337
2022/4/9,26737
2022/4/10,25555
2022/4/11,24452
2022/4/12,28046
2022/4/13,25080
2022/4/14,20792
2022/4/15,22202
2022/4/16,21810
2022/4/17,18421
2022/4/18,16895
2022/4/19,16969
2022/4/20,17984
2022/4/21,20642
2022/4/22,23809
2022/4/23,18609
2022/4/24,14676
2022/4/25,10837
2022/4/26,8104
2022/4/27,7724
2022/4/28,8333
2022/4/29,6924
2022/4/30,5439
2022/5/1,4984
2022/5/2,4048
2022/5/3,3824
2022/5/4,3769
2022/5/5,3736
2022/5/6,3776
2022/5/7,3368
2022/5/8,2427
2022/5/9,1183
2022/5/10,740
2022/5/11,1366
2022/5/12,1767
2022/5/13,1087
2022/5/14,747
2022/5/15,569
2022/5/16,614
2022/5/17,677
2022/5/18,686
2022/5/19,817
2022/5/20,659
2022/5/21,425
2022/5/22,372
2022/5/23,295
2022/5/24,231
2022/5/25,170
2022/5/26,93
2022/5/27,44
2022/5/28,20
2022/5/29,6
2022/5/30,2
2022/5/31,2
2022/6/1,4
2022/6/2,8
2022/6/3,12
2022/6/4,13
2022/6/5,5
2022/6/6,10
2022/6/7,12
2022/6/8,8
2022/6/9,16
2022/6/10,30
2022/6/11,43
2022/6/12,25
2022/6/13,8
2022/6/14,8
2022/6/15,6
2022/6/16,3
2022/6/17,8
2022/6/18,12
2022/6/19,13
2022/6/20,7
2022/6/21,5
2022/6/22,2
2022/6/23,0
2022/6/24,0
2022/6/25,1
2022/6/26,1
2022/6/27,0
2022/6/28,0
2022/6/29,0
2022/6/30,0
2022/7/1,0
2022/7/2,6
